Date,Home-team,Goals,Away-team
01-10-2024,New York City,3 - 2,Cincinnati
04-10-2024,Cincinnati,1 - 3,Orlando City SC
18-10-2024,Philadelphia Union,1 - 2,Cincinnati
27-10-2024,Cincinnati,1 - 0,New York City
01-11-2024,New York City,3 - 1,Cincinnati
08-11-2024,Cincinnati,0 - 0,New York City
21-02-2024,Club Internacional de Fútbol Miami,2 - 0,Real Salt Lake
25-02-2024,LA Galaxy,1 - 1,Club Internacional de Fútbol Miami
01-03-2024,Club Internacional de Fútbol Miami,5 - 0,Orlando City SC
09-03-2024,Club Internacional de Fútbol Miami,2 - 3,Montreal Impact
15-03-2024,DC United,1 - 3,Club Internacional de Fútbol Miami
22-03-2024,New York RB,4 - 0,Club Internacional de Fútbol Miami
29-03-2024,Club Internacional de Fútbol Miami,1 - 1,New York City
05-04-2024,Club Internacional de Fútbol Miami,2 - 2,Colorado Rapids
13-04-2024,Sporting KC,2 - 3,Club Internacional de Fútbol Miami
19-04-2024,Club Internacional de Fútbol Miami,3 - 1,Nashville SC (MLS)
26-04-2024,New England,1 - 4,Club Internacional de Fútbol Miami
03-05-2024,Club Internacional de Fútbol Miami,6 - 2,New York RB
10-05-2024,Montreal Impact,2 - 3,Club Internacional de Fútbol Miami
14-05-2024,Orlando City SC,0 - 0,Club Internacional de Fútbol Miami
18-05-2024,Club Internacional de Fútbol Miami,1 - 0,DC United
25-05-2024,Vancouver Whitecaps,1 - 2,Club Internacional de Fútbol Miami
28-05-2024,Club Internacional de Fútbol Miami,1 - 3,Atlanta United
31-05-2024,Club Internacional de Fútbol Miami,3 - 3,Saint Louis City
14-06-2024,Philadelphia Union,1 - 2,Club Internacional de Fútbol Miami
18-06-2024,Club Internacional de Fútbol Miami,2 - 1,Columbus Crew
29-06-2024,Nashville SC (MLS),1 - 2,Club Internacional de Fútbol Miami
02-07-2024,Charlotte,1 - 2,Club Internacional de Fútbol Miami
05-07-2024,Cincinnati,6 - 1,Club Internacional de Fútbol Miami
16-07-2024,Club Internacional de Fútbol Miami,3 - 1,Toronto
19-07-2024,Club Internacional de Fútbol Miami,2 - 1,Chicago Fire
23-08-2024,Club Internacional de Fútbol Miami,2 - 0,Cincinnati
31-08-2024,Chicago Fire,1 - 4,Club Internacional de Fútbol Miami
13-09-2024,Club Internacional de Fútbol Miami,3 - 1,Philadelphia Union
17-09-2024,Atlanta United,2 - 2,Club Internacional de Fútbol Miami
20-09-2024,New York City,1 - 1,Club Internacional de Fútbol Miami
27-09-2024,Club Internacional de Fútbol Miami,1 - 1,Charlotte
01-10-2024,Columbus Crew,2 - 3,Club Internacional de Fútbol Miami
04-10-2024,Toronto,0 - 1,Club Internacional de Fútbol Miami
18-10-2024,Club Internacional de Fútbol Miami,6 - 2,New England
25-10-2024,Club Internacional de Fútbol Miami,2 - 1,Atlanta United
01-11-2024,Atlanta United,2 - 1,Club Internacional de Fútbol Miami
09-11-2024,Club Internacional de Fútbol Miami,2 - 3,Atlanta United
24-02-2024,Portland Timbers,4 - 1,Colorado Rapids
02-03-2024,Colorado Rapids,1 - 1,Nashville SC (MLS)
09-03-2024,Real Salt Lake,1 - 2,Colorado Rapids
15-03-2024,Seattle Sounders FC,1 - 1,Colorado Rapids
23-03-2024,Colorado Rapids,0 - 1,Houston Dynamo
29-03-2024,Colorado Rapids,3 - 2,Los Angeles FC
